[2025-08-24 16:03:30.593] LINEARIZABILITY_TEST_SUITE_START: Starting linearizability and write durability testing
[2025-08-24 16:03:30.594] CONFIG: Concurrent clients: 10, Operations per client: 100, Duration: 10m0s
[2025-08-24 16:04:00.749] CONNECTIVITY: Initial connectivity and consistency verified
[2025-08-24 16:04:01.000] LINEARIZABILITY_WRITE_SUCCESS: client-3 wrote client-3-seq-16 (duration: 4.663708ms)
[2025-08-24 16:04:01.000] LINEARIZABILITY_WRITE_SUCCESS: client-7 wrote client-7-seq-15 (duration: 4.6955ms)
[2025-08-24 16:04:01.000] LINEARIZABILITY_WRITE_SUCCESS: client-9 wrote client-9-seq-15 (duration: 4.89125ms)
[2025-08-24 16:04:01.000] LINEARIZABILITY_WRITE_SUCCESS: client-4 wrote client-4-seq-15 (duration: 4.943ms)
[2025-08-24 16:04:01.000] LINEARIZABILITY_WRITE_SUCCESS: client-2 wrote client-2-seq-16 (duration: 4.982334ms)
[2025-08-24 16:04:01.006] LINEARIZABILITY_WRITE_SUCCESS: client-5 wrote client-5-seq-16 (duration: 1.913125ms)
[2025-08-24 16:04:01.008] LINEARIZABILITY_WRITE_SUCCESS: client-8 wrote client-8-seq-17 (duration: 1.134417ms)
[2025-08-24 16:04:01.010] LINEARIZABILITY_WRITE_SUCCESS: client-10 wrote client-10-seq-16 (duration: 1.59275ms)
[2025-08-24 16:04:01.014] LINEARIZABILITY_WRITE_SUCCESS: client-1 wrote client-1-seq-17 (duration: 3.433959ms)
[2025-08-24 16:04:01.014] LINEARIZABILITY_WRITE_SUCCESS: client-9 wrote client-9-seq-16 (duration: 3.4505ms)
[2025-08-24 16:04:01.014] LINEARIZABILITY_WRITE_SUCCESS: client-4 wrote client-4-seq-16 (duration: 3.440833ms)
[2025-08-24 16:04:01.014] LINEARIZABILITY_WRITE_SUCCESS: client-2 wrote client-2-seq-17 (duration: 3.437958ms)
[2025-08-24 16:04:01.014] LINEARIZABILITY_WRITE_SUCCESS: client-3 wrote client-3-seq-17 (duration: 3.56025ms)
[2025-08-24 16:04:01.014] LINEARIZABILITY_WRITE_SUCCESS: client-6 wrote client-6-seq-17 (duration: 3.499208ms)
[2025-08-24 16:04:01.014] LINEARIZABILITY_WRITE_SUCCESS: client-7 wrote client-7-seq-16 (duration: 3.471083ms)
[2025-08-24 16:04:01.019] LINEARIZABILITY_WRITE_SUCCESS: client-5 wrote client-5-seq-17 (duration: 1.882334ms)
[2025-08-24 16:04:01.022] LINEARIZABILITY_WRITE_SUCCESS: client-8 wrote client-8-seq-18 (duration: 3.205833ms)
[2025-08-24 16:04:01.025] LINEARIZABILITY_WRITE_SUCCESS: client-10 wrote client-10-seq-17 (duration: 1.444208ms)
[2025-08-24 16:04:01.029] LINEARIZABILITY_WRITE_SUCCESS: client-2 wrote client-2-seq-18 (duration: 3.586375ms)
[2025-08-24 16:04:01.031] LINEARIZABILITY_WRITE_SUCCESS: client-6 wrote client-6-seq-18 (duration: 5.640625ms)
[2025-08-24 16:04:01.031] LINEARIZABILITY_WRITE_SUCCESS: client-3 wrote client-3-seq-18 (duration: 5.65475ms)
[2025-08-24 16:04:01.031] LINEARIZABILITY_WRITE_SUCCESS: client-9 wrote client-9-seq-17 (duration: 5.692583ms)
[2025-08-24 16:04:01.032] LINEARIZABILITY_WRITE_SUCCESS: client-1 wrote client-1-seq-18 (duration: 6.1985ms)
